R,G,B,Openness,Width,Label
131,89,87,0.0003,0.0092,0
125,85,84,-0.0,0.0096,0
109,81,77,0.004,0.0102,0
120,96,87,0.0042,0.0104,0
111,84,75,0.0037,0.01,0
106,78,73,0.0035,0.0099,0
108,82,76,0.0037,0.0101,0
110,87,78,0.0034,0.0099,0
87,69,67,0.0034,0.0098,0
103,80,72,0.0035,0.01,0
103,75,71,0.0033,0.0099,0
106,82,73,0.0032,0.0098,0
105,81,72,0.0037,0.0101,0
110,84,76,0.0032,0.0098,0
99,77,74,0.0034,0.0097,0
101,78,68,0.0036,0.0099,0
97,75,70,0.0038,0.0098,0
96,79,71,0.0038,0.0099,0
102,80,72,0.0039,0.0099,0
98,78,70,0.0036,0.0099,0
102,75,69,0.0039,0.0099,0
117,86,82,0.0039,0.0099,0
125,93,89,0.0036,0.0098,0
128,94,93,0.0038,0.01,0
119,87,83,0.0037,0.0098,0
114,90,88,0.0037,0.0098,0
120,93,90,0.0036,0.0097,0
127,96,95,0.0036,0.0097,0
128,96,93,0.0035,0.0097,0
125,98,97,0.0033,0.0097,0
125,94,90,0.0033,0.0097,0
126,99,98,0.0034,0.0096,0
115,89,83,0.0037,0.0097,0
109,85,84,0.0035,0.0097,0
108,85,85,0.0035,0.0099,0
105,84,85,0.0035,0.0099,0
104,80,77,0.0034,0.0097,0
108,83,84,0.0036,0.0096,0
68,56,57,0.0012,0.0099,1
115,105,95,0.0019,0.0114,1
135,121,108,0.0025,0.0117,1
135,126,109,0.0024,0.0117,1
131,119,103,0.0024,0.0114,1
129,117,101,0.0026,0.0116,1
140,129,111,0.0025,0.0114,1
134,125,108,0.0025,0.0113,1
137,127,108,0.0026,0.0115,1
135,125,107,0.0025,0.0115,1
139,128,110,0.0026,0.0116,1
132,120,106,0.0026,0.0115,1
136,127,112,0.0026,0.0115,1
135,123,107,0.0023,0.0114,1
147,137,120,0.0023,0.0113,1
150,135,120,0.0023,0.0115,1
148,135,119,0.0025,0.0114,1
148,132,117,0.0024,0.0116,1
144,130,112,0.0023,0.0115,1
153,139,122,0.0023,0.0115,1
153,141,126,0.0023,0.0115,1
159,146,132,0.0024,0.0114,1
145,134,120,0.0025,0.0114,1
149,138,128,0.0024,0.0114,1
147,135,123,0.0024,0.0114,1
150,138,126,0.0024,0.0113,1
153,138,128,0.0025,0.0114,1
145,136,122,0.0025,0.0115,1
145,134,120,0.0024,0.0115,1
139,124,110,0.0024,0.0115,1
137,124,107,0.0024,0.0116,1
139,126,109,0.0023,0.0113,1
131,122,104,0.0023,0.0113,1
137,124,108,0.0023,0.0114,1
134,123,105,0.0024,0.0114,1
131,119,105,0.0028,0.0114,1
139,126,110,0.0024,0.0113,1
138,122,108,0.0025,0.0114,1
148,136,121,0.0023,0.0112,1
111,80,78,-0.0,0.0094,2
98,71,74,0.0007,0.0089,2
76,52,54,0.0009,0.0078,2
80,60,61,0.0008,0.0075,2
77,62,58,0.0008,0.0076,2
70,60,57,0.0008,0.0076,2
89,74,70,0.0009,0.0077,2
81,73,68,0.0009,0.0075,2
88,77,69,0.0008,0.0077,2
87,76,65,0.0009,0.0077,2
82,73,69,0.001,0.0077,2
92,80,83,0.001,0.0077,2
101,88,88,0.0009,0.0076,2
100,87,88,0.0011,0.0076,2
100,87,87,0.001,0.0076,2
95,86,88,0.0011,0.0076,2
85,73,75,0.0012,0.0076,2
89,77,79,0.0013,0.0076,2
85,73,75,0.0013,0.0076,2
92,76,80,0.0012,0.0077,2
90,79,78,0.0013,0.0077,2
89,77,80,0.0014,0.0078,2
83,76,76,0.0013,0.0077,2
75,65,62,0.0014,0.0078,2
72,67,64,0.0012,0.0078,2
72,64,60,0.0012,0.0078,2
72,64,60,0.0013,0.0077,2
77,68,64,0.0015,0.0078,2
73,67,64,0.0012,0.0079,2
73,67,67,0.0012,0.0077,2
80,69,68,0.0012,0.0077,2
76,67,68,0.0013,0.0077,2
82,71,71,0.0012,0.0077,2
104,71,71,0.0001,0.0093,3
78,61,59,0.0024,0.0096,3
121,92,88,0.0046,0.0098,3
104,81,76,0.0051,0.0098,3
85,70,68,0.005,0.0102,3
97,82,77,0.0045,0.01,3
131,98,93,0.004,0.0099,3
135,106,102,0.0042,0.0102,3
130,103,95,0.0038,0.0101,3
112,91,87,0.0035,0.0098,3
127,99,94,0.0037,0.01,3
134,105,99,0.0036,0.0098,3
120,92,90,0.0033,0.0097,3
131,108,100,0.0032,0.0097,3
130,102,98,0.0031,0.0096,3
136,106,98,0.0033,0.0096,3
133,102,97,0.0034,0.0097,3
123,95,93,0.0035,0.0097,3
140,111,107,0.003,0.0096,3
135,106,102,0.0035,0.0098,3
147,112,107,0.0031,0.0095,3
148,115,107,0.003,0.0094,3
143,114,108,0.0033,0.0096,3
144,114,108,0.0036,0.0096,3
147,116,111,0.0034,0.0096,3
146,115,106,0.0038,0.0098,3
142,112,106,0.004,0.0097,3
145,110,106,0.0043,0.01,3
146,116,109,0.0035,0.0097,3
140,108,103,0.0041,0.0099,3
134,102,98,0.0041,0.0099,3
139,105,105,0.0034,0.0098,3
138,107,103,0.0035,0.0097,3
129,106,100,0.0037,0.0097,3
130,105,99,0.0037,0.0096,3
82,69,64,0.0038,0.0096,3
96,75,76,0.0033,0.0096,3
97,81,75,0.004,0.0097,3
124,96,93,0.0036,0.0096,3
118,86,81,0.0001,0.0094,4
74,64,63,0.0008,0.0084,4
58,49,52,0.0017,0.008,4
56,49,50,0.0016,0.0079,4
55,48,48,0.0017,0.008,4
55,49,51,0.002,0.0082,4
55,50,49,0.0023,0.0082,4
60,47,49,0.0022,0.0081,4
58,51,51,0.0022,0.008,4
59,46,48,0.0023,0.0081,4
57,47,48,0.0022,0.0081,4
56,48,51,0.0024,0.0081,4
55,50,49,0.0017,0.0078,4
59,50,53,0.0017,0.0079,4
70,63,63,0.0018,0.008,4
59,52,52,0.0019,0.008,4
60,53,53,0.0018,0.008,4
59,52,54,0.0018,0.008,4
57,48,49,0.0018,0.0082,4
56,50,51,0.0016,0.0079,4
58,48,49,0.002,0.0081,4
60,50,51,0.0018,0.008,4
63,51,53,0.0018,0.0081,4
71,61,62,0.0021,0.0082,4
69,60,61,0.0018,0.0081,4
69,61,61,0.002,0.0081,4
68,59,60,0.0017,0.008,4
69,60,61,0.0017,0.0081,4
74,64,65,0.0023,0.0082,4
76,70,66,0.0017,0.0081,4
78,72,72,0.0016,0.008,4
90,79,78,0.0013,0.0079,4
88,77,78,0.0016,0.008,4
85,78,79,0.0016,0.0081,4
85,75,75,0.0015,0.008,4
82,77,75,0.0018,0.008,4
88,80,79,0.0017,0.0081,4
84,77,78,0.0018,0.0081,4
87,77,78,0.0015,0.0081,4
88,78,77,0.0016,0.0081,4
89,70,67,0.0007,0.0086,5
70,54,55,0.001,0.0077,5
72,51,49,0.0014,0.0075,5
70,52,50,0.0012,0.0073,5
72,52,53,0.0014,0.0074,5
71,51,50,0.0013,0.0074,5
70,52,50,0.0014,0.0075,5
73,53,52,0.0013,0.0075,5
71,53,52,0.0013,0.0075,5
70,53,54,0.0014,0.0074,5
72,52,52,0.0013,0.0074,5
70,52,51,0.0013,0.0075,5
70,50,50,0.0014,0.0074,5
69,49,50,0.0013,0.0075,5
69,54,51,0.0015,0.0075,5
69,50,51,0.0014,0.0073,5
69,52,51,0.0015,0.0075,5
70,51,53,0.0017,0.0074,5
69,53,53,0.0013,0.0074,5
67,51,51,0.0016,0.0074,5
68,52,52,0.0014,0.0074,5
67,50,50,0.0019,0.0075,5
64,50,51,0.0016,0.0073,5
65,51,52,0.0016,0.0074,5
68,51,53,0.0015,0.0074,5
66,52,51,0.0017,0.0075,5
64,49,51,0.0017,0.0075,5
71,51,51,0.0016,0.0075,5
71,53,52,0.0015,0.0074,5
69,50,52,0.0017,0.0075,5
66,53,52,0.0013,0.0074,5
66,50,50,0.0018,0.0076,5
71,53,51,0.0014,0.0075,5
70,53,53,0.0015,0.0075,5
72,53,54,0.0015,0.0075,5
70,50,51,0.0016,0.0074,5
69,50,52,0.0014,0.0075,5
84,58,60,0.0015,0.0075,5
80,59,55,0.0016,0.0075,5
79,59,60,0.0016,0.0076,5
80,59,57,0.0017,0.0076,5
82,58,59,0.0015,0.0075,5
91,71,66,0.0016,0.0075,5
92,69,68,0.0015,0.0076,5
122,89,82,0.0001,0.0098,6
108,81,73,0.0001,0.0097,6
79,64,61,0.0042,0.01,6
88,69,63,0.0041,0.0094,6
99,80,71,0.0044,0.0094,6
101,81,71,0.0046,0.0096,6
113,87,79,0.0047,0.0096,6
96,76,69,0.005,0.0098,6
90,75,68,0.0053,0.0098,6
97,77,70,0.0048,0.0097,6
101,80,72,0.0051,0.0097,6
102,82,75,0.0052,0.0099,6
91,80,69,0.0051,0.0099,6
96,78,72,0.0053,0.01,6
100,80,72,0.0049,0.0096,6
109,89,80,0.0049,0.0096,6
111,85,77,0.0049,0.0097,6
105,82,74,0.0046,0.0097,6
102,82,73,0.0045,0.0099,6
